svg,svg_id,label,status_text,status_color,modal_before,modal_after
saltmarsh.svg,mangroves,Black Mangrove,NA,NA,NA,captions/black_mangrove.md
saltmarsh.svg,bluecrabs,Blue Crabs ,NA,NA,NA,captions/blue_crab.md
saltmarsh.svg,dolphins,Bottlenose Dolphin ,NA,NA,NA,captions/dolphin.md
saltmarsh.svg,drum,Red and Black Drum,NA,NA,NA,captions/drum.md
saltmarsh.svg,fiddlercrabs,Fiddler Crab,NA,NA,NA,captions/fiddlercrab.md
saltmarsh.svg,nutria,Nutria ,NA,NA,NA,captions/nutria.md
saltmarsh.svg,oysters,Oyster Reefs ,NA,NA,NA,captions/oyster_reef_text.md
saltmarsh.svg,phragmites,Roseau Cane,NA,NA,NA,captions/roseau.md
saltmarsh.svg,shrimp,Shrimp ,NA,NA,NA,captions/shrimp.md
saltmarsh.svg,cordgrass,Smooth Cordgrass ,NA,NA,NA,captions/smooth_cordgrass.md
saltmarsh.svg,snails,Periwinkle Snails,NA,NA,NA,captions/snail.md
saltmarsh.svg,sparrow,Seaside Sparrow ,NA,NA,NA,captions/sparrow.md
saltmarsh.svg,tern ,Forster's Tern ,NA,NA,NA,captions/tern.md
saltmarsh.svg,terrapin,Diamondback Terrapin ,NA,NA,NA,captions/terrapin.md
